"","EPG","fire","tree","river","road","urema","term100","term250","pan100","pan250","panlg100","panlg250","MajorSpecies_all_years"
"EPG",1,-0.0256922946462286,-0.213791575737488,-0.0676284850678113,0.0682020816053692,0.0497969111425953,-0.189054015393889,-0.181740445550588,0.0175153605247623,0.071626733185985,0.00980227598160826,0.0571597956198645,-0.0179999187366536
"fire",-0.0256922946462286,1,0.134372654812961,-0.0735932401326621,0.106757362156908,0.637180779862868,-0.00744906396731718,-0.0149478906501365,0.154223720741409,0.133043111720382,0.132027007948975,0.0751169058434606,-0.068021135887254
"tree",-0.213791575737488,0.134372654812961,1,0.12577559728658,0.0110892883258415,0.107775245222508,0.604283850106538,0.56703176866283,-0.0599978931782669,-0.19517317178381,-0.0469391114658716,-0.185828425865739,-0.128485679397572
"river",-0.0676284850678113,-0.0735932401326621,0.12577559728658,1,0.0320663728706001,-0.0986928002422969,0.419324917399372,0.524933148024817,0.116947621283933,0.347919990806688,0.0827556941142132,0.318950132668499,-0.407428548066105
"road",0.0682020816053692,0.106757362156908,0.0110892883258415,0.0320663728706001,1,0.0620528415113294,-0.0722314477366613,-0.0692262626613333,0.0446015491444119,0.0856288669710069,-0.0154562243293925,-0.0295800225602928,-0.0664394278318758
"urema",0.0497969111425953,0.637180779862868,0.107775245222508,-0.0986928002422969,0.0620528415113294,1,-0.0524932993936977,-0.00563378272687517,0.195147494215048,0.246442780255714,0.156411669805597,0.14865426716874,-0.54003053210317
"term100",-0.189054015393889,-0.00744906396731718,0.604283850106538,0.419324917399372,-0.0722314477366613,-0.0524932993936977,1,0.904746645920727,0.0588545894080736,0.0114376868522038,0.0644887022267455,0.0158557080515445,-0.207039742503107
"term250",-0.181740445550588,-0.0149478906501365,0.56703176866283,0.524933148024817,-0.0692262626613333,-0.00563378272687517,0.904746645920727,1,0.123067460028395,0.103236904118008,0.118817742421187,0.101512201664505,-0.286260112244489
"pan100",0.0175153605247623,0.154223720741409,-0.0599978931782669,0.116947621283933,0.0446015491444119,0.195147494215048,0.0588545894080736,0.123067460028395,1,0.756492768717074,0.979332005425554,0.744682376702602,-0.0722216600040776
"pan250",0.071626733185985,0.133043111720382,-0.19517317178381,0.347919990806688,0.0856288669710069,0.246442780255714,0.0114376868522038,0.103236904118008,0.756492768717074,1,0.721817591820525,0.95851915600876,-0.266512624642856
"panlg100",0.00980227598160826,0.132027007948975,-0.0469391114658716,0.0827556941142132,-0.0154562243293925,0.156411669805597,0.0644887022267455,0.118817742421187,0.979332005425554,0.721817591820525,1,0.753162143204323,-0.0330139489658585
"panlg250",0.0571597956198645,0.0751169058434606,-0.185828425865739,0.318950132668499,-0.0295800225602928,0.14865426716874,0.0158557080515445,0.101512201664505,0.744682376702602,0.95851915600876,0.753162143204323,1,-0.202575341570017
"MajorSpecies_all_years",-0.0179999187366536,-0.068021135887254,-0.128485679397572,-0.407428548066105,-0.0664394278318758,-0.54003053210317,-0.207039742503107,-0.286260112244489,-0.0722216600040776,-0.266512624642856,-0.0330139489658585,-0.202575341570017,1
